archive_path,tree,relative_path,size_bytes,magic_le,embedded_source_path,sha256
data_cn_jsc/art/sgs_config_bmf.jsc,data_cn_jsc,art/sgs_config_bmf.jsc,1942,0xb973c051,/Users/yoka_dobest/svn/PublishJsToJsc/src_jsc_2.2.6/data_cn/art/sgs_config_bmf.js,95723fabb0c2d69bbb32d28c329e27230fac27ee0a766ac259bff0e2086e6ce0
data_cn_jsc/art/sgs_config_ls.jsc,data_cn_jsc,art/sgs_config_ls.jsc,12315,0xb973c051,/Users/yoka_dobest/svn/PublishJsToJsc/src_jsc_2.2.6/data_cn/art/sgs_config_ls.js,62e58f20d7612e459a5e17ce4a9e9f2e1e0aa84591eada340d7a422883b8858f
data_cn_jsc/art/sgs_config_ttf.jsc,data_cn_jsc,art/sgs_config_ttf.jsc,12701,0xb973c051,/Users/yoka_dobest/svn/PublishJsToJsc/src_jsc_2.2.6/data_cn/art/sgs_config_ttf.js,b8c8a8203dc0159d8bc1cb037cda487e12e4df935f3c3c11f9f9b552adf5ba60
data_cn_jsc/plan/cfg_evolution_total_buff.jsc,data_cn_jsc,plan/cfg_evolution_total_buff.jsc,165851,0xb973c051,/Users/yoka_dobest/svn/PublishJsToJsc/src_jsc_2.2.6/data_cn/plan/cfg_evolution_total_buff.js,ab7718923f9fb24a2e7bfaeae2041b6d72c0a2c3c4741b0598ad9f71c4482eae
data_cn_jsc/plan/sgs_beauty_conf_detail.jsc,data_cn_jsc,plan/sgs_beauty_conf_detail.jsc,27913,0xb973c051,/Users/yoka_dobest/svn/PublishJsToJsc/src_jsc_2.2.6/data_cn/plan/sgs_beauty_conf_detail.js,14a579b00161e256a905f9cb42f63712248b15603e1336cd7c8ff3f899e67d68
data_cn_jsc/plan/sgs_buddy_conf.jsc,data_cn_jsc,plan/sgs_buddy_conf.jsc,951,0xb973c051,/Users/yoka_dobest/svn/PublishJsToJsc/src_jsc_2.2.6/data_cn/plan/sgs_buddy_conf.js,052a7ad9b5dd7be0dafd10c3be80f67b6229d19bed4d1129cc6938a422419fac
data_cn_jsc/plan/sgs_combat_level_conf.jsc,data_cn_jsc,plan/sgs_combat_level_conf.jsc,77636,0xb973c051,/Users/yoka_dobest/svn/PublishJsToJsc/src_jsc_2.2.6/data_cn/plan/sgs_combat_level_conf.js,6f7469aa8f9b4bc7068f256a1324934d74f7d68a8b28239cc1c1ff9e83493ef8
data_cn_jsc/plan/sgs_config_btn.jsc,data_cn_jsc,plan/sgs_config_btn.jsc,493,0xb973c051,/Users/yoka_dobest/svn/PublishJsToJsc/src_jsc_2.2.6/data_cn/plan/sgs_config_btn.js,cd9f1b76dcd8176c62ab8f510bedcf94c7a04bef536cbb62e152ce6a7c246993
data_cn_jsc/plan/sgs_config_label.jsc,data_cn_jsc,plan/sgs_config_label.jsc,11440,0xb973c051,/Users/yoka_dobest/svn/PublishJsToJsc/src_jsc_2.2.6/data_cn/plan/sgs_config_label.js,b93edc5e533676fb1235946cfa673270a09b8cbe5b4ae2a7b2c46cfc5054b816
data_cn_jsc/plan/sgs_dungeon_conf.jsc,data_cn_jsc,plan/sgs_dungeon_conf.jsc,57202,0xb973c051,/Users/yoka_dobest/svn/PublishJsToJsc/src_jsc_2.2.6/data_cn/plan/sgs_dungeon_conf.js,76c47d10e78fdc92477c065f855e04f174b2cf84079cadef91b945072de9ed6a
data_cn_jsc/plan/sgs_dungeon_plot_conf.jsc,data_cn_jsc,plan/sgs_dungeon_plot_conf.jsc,30713,0xb973c051,/Users/yoka_dobest/svn/PublishJsToJsc/src_jsc_2.2.6/data_cn/plan/sgs_dungeon_plot_conf.js,5475edb1b279452f2d7fc99265524c29cf1e9e97f670b178de2905f14914a6b5
data_cn_jsc/plan/sgs_dungeon_plot_dialog.jsc,data_cn_jsc,plan/sgs_dungeon_plot_dialog.jsc,441052,0xb973c051,/Users/yoka_dobest/svn/PublishJsToJsc/src_jsc_2.2.6/data_cn/plan/sgs_dungeon_plot_dialog.js,f26b0b68950fdac0785b613e21c3c13a06cf8f24a5c7ef95ca5df580f3242cd1
data_cn_jsc/plan/sgs_eated_exp_conf.jsc,data_cn_jsc,plan/sgs_eated_exp_conf.jsc,9932,0xb973c051,/Users/yoka_dobest/svn/PublishJsToJsc/src_jsc_2.2.6/data_cn/plan/sgs_eated_exp_conf.js,d53da542725e800d2413e620d9e8916441ece2c76e27a4589b3369859e5e1380
data_cn_jsc/plan/sgs_equipments.jsc,data_cn_jsc,plan/sgs_equipments.jsc,79010,0xb973c051,/Users/yoka_dobest/svn/PublishJsToJsc/src_jsc_2.2.6/data_cn/plan/sgs_equipments.js,35672905907864352dc2883b35daf3def5952e90f2efcca15c72df334fb092fb
data_cn_jsc/plan/sgs_evolution.jsc,data_cn_jsc,plan/sgs_evolution.jsc,7966,0xb973c051,/Users/yoka_dobest/svn/PublishJsToJsc/src_jsc_2.2.6/data_cn/plan/sgs_evolution.js,3de202294cc0f35f5268762f5444cb2c81bd3b2c9a70c09543d83788042fb38c
data_cn_jsc/plan/sgs_evolution_buff_conf.jsc,data_cn_jsc,plan/sgs_evolution_buff_conf.jsc,198823,0xb973c051,/Users/yoka_dobest/svn/PublishJsToJsc/src_jsc_2.2.6/data_cn/plan/sgs_evolution_buff_conf.js,ec9d23a9a2f283cf71af502d3e93c00277ba91645fc4612c9222782f811c9427
data_cn_jsc/plan/sgs_evolution_open_conf.jsc,data_cn_jsc,plan/sgs_evolution_open_conf.jsc,16440,0xb973c051,/Users/yoka_dobest/svn/PublishJsToJsc/src_jsc_2.2.6/data_cn/plan/sgs_evolution_open_conf.js,fa48d186594cb80d92fa9228822e6378618fd57b7cd2a90415fdf99915487065
data_cn_jsc/plan/sgs_evolution_surrender.jsc,data_cn_jsc,plan/sgs_evolution_surrender.jsc,9993,0xb973c051,/Users/yoka_dobest/svn/PublishJsToJsc/src_jsc_2.2.6/data_cn/plan/sgs_evolution_surrender.js,2aaa623e6d971ea2d4b0fd1b94b5f0b93300544df9a33d2d337eea5b5ea53eb0
data_cn_jsc/plan/sgs_fates.jsc,data_cn_jsc,plan/sgs_fates.jsc,314177,0xb973c051,/Users/yoka_dobest/svn/PublishJsToJsc/src_jsc_2.2.6/data_cn/plan/sgs_fates.js,11ad31e25e0d29449ac9409ca90f94b3eca0759eabb3979ff8f43f99776ebb0f
data_cn_jsc/plan/sgs_function_level_conf.jsc,data_cn_jsc,plan/sgs_function_level_conf.jsc,5192,0xb973c051,/Users/yoka_dobest/svn/PublishJsToJsc/src_jsc_2.2.6/data_cn/plan/sgs_function_level_conf.js,6dbe35317c46708fd43b6aa77f75398239fd19f83c4fe57e8dd0a6abb15a5102
data_cn_jsc/plan/sgs_gem.jsc,data_cn_jsc,plan/sgs_gem.jsc,7597,0xb973c051,/Users/yoka_dobest/svn/PublishJsToJsc/src_jsc_2.2.6/data_cn/plan/sgs_gem.js,b5e77663988a6cb6cea82185f6a39dde877a2b9ac165d21de17e55835c04a815
data_cn_jsc/plan/sgs_general_surrender.jsc,data_cn_jsc,plan/sgs_general_surrender.jsc,72508,0xb973c051,/Users/yoka_dobest/svn/PublishJsToJsc/src_jsc_2.2.6/data_cn/plan/sgs_general_surrender.js,1911ae65c44b868649f78c24493fc61591e4f6a974ed7985cc72e48eeefe019c
data_cn_jsc/plan/sgs_generals.jsc,data_cn_jsc,plan/sgs_generals.jsc,237241,0xb973c051,/Users/yoka_dobest/svn/PublishJsToJsc/src_jsc_2.2.6/data_cn/plan/sgs_generals.js,bf5a779f1f39c74f216d0ce9fb958a4e574b3cf85e2b95a3bbba4bc37da87d82
data_cn_jsc/plan/sgs_global_conf.jsc,data_cn_jsc,plan/sgs_global_conf.jsc,15942,0xb973c051,/Users/yoka_dobest/svn/PublishJsToJsc/src_jsc_2.2.6/data_cn/plan/sgs_global_conf.js,2a23301e2de0cb2f66ce1f1e7b56b6f8b564762b7fc6eaa85aae5ec97b8f0e22
data_cn_jsc/plan/sgs_godness.jsc,data_cn_jsc,plan/sgs_godness.jsc,4355,0xb973c051,/Users/yoka_dobest/svn/PublishJsToJsc/src_jsc_2.2.6/data_cn/plan/sgs_godness.js,34c6f631ca16381cd2c526e7781797c89026bc58f3b8b0bac95622c7ced4a078
data_cn_jsc/plan/sgs_godness_fates.jsc,data_cn_jsc,plan/sgs_godness_fates.jsc,5033,0xb973c051,/Users/yoka_dobest/svn/PublishJsToJsc/src_jsc_2.2.6/data_cn/plan/sgs_godness_fates.js,87a2b690fe85af401161c859b63292ae3ff3577ca4ac4974e2e985472fb64466
data_cn_jsc/plan/sgs_godness_skin.jsc,data_cn_jsc,plan/sgs_godness_skin.jsc,1271,0xb973c051,/Users/yoka_dobest/svn/PublishJsToJsc/src_jsc_2.2.6/data_cn/plan/sgs_godness_skin.js,728a2a290eb40c4d5119ec6d6da5a0a05e3241979ef0a2f798240a4e58f478ae
data_cn_jsc/plan/sgs_hulao_reward_conf.jsc,data_cn_jsc,plan/sgs_hulao_reward_conf.jsc,1357,0xb973c051,/Users/yoka_dobest/svn/PublishJsToJsc/src_jsc_2.2.6/data_cn/plan/sgs_hulao_reward_conf.js,12259a262f1e2ce1881bcfbebeaeec81edbd0403bc6c901663f6529fded0c716
